"Track Name","Artist Name","Genre","Year","Lyrics","Spotify Genres","Release Date","Popularity","Explicit"
"No Roots","Alice Merton","nan","2017-11-17","[Verse 1]
I like digging holes and hiding things inside them
When I grow old, I hope I won't forget to find them
'Cause I've got memories and travel like gypsies in the night

[Verse 2]
I build a home and wait for someone to tear it down
Then pack it up in boxes, head for the next town running
'Cause I've got memories and travel like gypsies in the night

[Pre-Chorus]
And a thousand times I've seen this road
A thousand times

[Chorus]
I've got no roots
But my home was never on the ground
I've got no roots
But my home was never on the ground
I've got no roots
I've got no roots
I've got no roots
But my home was never on the ground
I've got no roots
But my home was never on the ground
I've got no roots
I've got no roots

[Verse 3]
I like standing still but that's just a wishful plan
Ask me where I come from, I'll say a different land
But I've got memories and travel like gypsies in the night

[Verse 4]
I count gates and numbers, then play the guessing game
It's just the place that changes, the rest is still the same
But I've got memories and travel like gypsies in the night

[Pre-Chorus]
And a thousand times I've seen this road
A thousand times

[Chorus]
I've got no roots
But my home was never on the ground
I've got no roots
But my home was never on the ground
I've got no roots
I've got no roots
I've got no roots
But my home was never on the ground
I've got no roots
But my home was never on the ground
I've got no roots
I've got no roots

[Bridge]
I like digging holes, hiding things inside them
When I grow old, I won't forget to find them
I like digging holes, hiding things inside them
When I grow old, I won't forget to find them
I've got no roots
No roots

[Chorus]
I've got no roots
But my home was never on the ground
I've got no roots
But my home was never on the ground
I've got no roots
I've got no roots
I've got no roots
But my home was never on the ground
I've got no roots
But my home was never on the ground
I've got no roots
I've got no roots
(No!)","","2019-01-18","60","False"
"You Get What You Give","New Radicals","pop rock","2000-04-20","[Intro]
Uh
Cha-cha-cha-cha, cha-cha-cha-cha-cha (ooh)
Cha-cha-cha-cha-cha, cha-cha-cha-cha
Do you know it, do you know it, do you know it, do you know it
One, two!
One, two, three, ow!
Oh, oh, hey, hey, hey, hey, hey, hey

[Verse 1]
Wake up, kids, we got the dreamers' disease
Age fourteen, they got you down on your knees
So polite, we're busy still saying please
Frenemies, who, when you're down, ain't your friend
Every night we smash a Mercedes-Benz
First we run, and then we laugh 'til we cry

[Pre-Chorus]
But when the night is falling
You cannot find the light (Light)
You feel your dreams are dying, hold tight
[Chorus]
You've got the music in you
Don't let go, you've got the music in you
One dance left, this world is gonna pull through
Don't give up, you've got a reason to live
Can't forget, we only get what we give

[Post-Chorus]
I'm comin' home, baby
You're the tops
Give it to me now!

[Verse 2]
Four A.M., we ran a miracle mile
We're flat broke, but hey, we do it in style
The bad rich, God's flying in for your trial

[Pre-Chorus]
But when the night is falling
You cannot find a friend (Friend)
You feel your tree is breaking, just bend

[Chorus]
You've got the music in you
Don't let go, you've got the music in you
One dance left, this world is gonna pull through
Don't give up, you've got a reason to live
Can't forget, we only get what we give

[Verse 3]
This whole damn world could fall apart
You'll be okay, follow your heart
You're in harm's way, I'm right behind
Now say you're mine

[Chorus]
You've got the music in you
Don't let go, you've got the music in you
One dance left, this world is gonna pull through
Don't give up, you've got a reason to live
Can't forget, we only get what we give
Don't let go, I feel the music in you
Don't let go

[Post-Chorus]
Fly (fly) high
What's real can't die
You only get what you give
You're gonna get what you give
Don't give up
Just don't be afraid to live

[Bridge]
Health insurance, rip-off, lying
FDA, big bankers buying
Fake computer crashes dining
Cloning while they're multiplying
Fashion shoots with Beck and Hanson (Don't give up)
Courtney Love and Marilyn Manson
You're all fakes, run to your mansions
Come around, we'll kick your ass in

[Outro]
Don't let go
One dance left
Don't give up
Can't forget
Don't let go","","1998-01-01","78","False"
"Cream","Prince and the New Power Generation","funk,funk rock,minneapolis sound,rock,synth funk","1991-10-01","[Intro: Prince]
Mmmmmm
Ooow!

[Verse 1: Prince & Rosie Gaines]
This is it
It's time for you to go to the wire
You will hit
'Cause you got the burning desire
It's your time (Time)
You got the horn, so why don't you blow it?
You are fine (Fine)
You're filthy cute, and, baby, you know it
Oooh

[Chorus: Prince]
Cream
Get on top
Cream
You will cop
Cream
Don't you stop
Cream
Sh-boogie bop

[Verse 2: Prince & Rosie Gaines]
You're so good
Baby, there ain't nobody better (Ain't nobody better)
So you should
Never, ever go by the letter (Never, ever)
You're so cool (Cool)
Everything you do is success (Oooh-ooh-ooh)
Make the rules (Rules)
Then break them all 'cause you are the best
(Yes, you are)

[Chorus: Prince]
Cream
Get on top
Cream
You will cop
Cream
Don't you stop
Cream
Sh-boogie bop

[Interlude: Prince]
Look up in the air, it's your guitar
Hey, ah-ah

[Verse 3: Prince & Rosie Gaines]
Do your dance
Why should you wait any longer?
Take your chance
It could only make you stronger
It's your time (It's your time)
You got the horn, so why don't you blow it? (Go on and blow it)
You're so fine (You're so fine)
You're filthy cute, and, baby, you know it (You know it and you know it)
Come on

[Chorus: Prince]
Cream
Get on top
Cream
You will cop
Cream
Don't you ever stop
Cream
Sh-boogie bop

[Outro: Prince & Rosie Gaines]
Cream
Cream
Cream
Sh-boogie bop
Cream
Ah, cream
Right there
Cream
Don't you stop
Cream
Sh-boogie bop
Boogie, ah heh-heh-heh
Cream
Sh-boogie bop
Cream, baby","funk rock","1991-10-01","48","False"
"Johnny B. Goode","Chuck Berry","blues,blues rock,classic rock,rock,rock-and-roll,rockabilly,soul","1959-07-01","[Verse 1]
Deep down in Louisiana close to New Orleans
Way back up in the woods among the evergreens
There stood a log cabin made of earth and wood
Where lived a country boy named Johnny B. Goode
Who never ever learned to read or write so well
But he could play a guitar just like a ringin' a bell
[Chorus]
Go, go
Go, Johnny, go, go
Go, Johnny, go, go
Go, Johnny, go, go
Go, Johnny, go, go
Johnny B. Goode

[Verse 2]
He used to carry his guitar in a gunny sack
Go sit beneath the tree by the railroad track
Oh, the engineers would see him sitting in the shade
Strummin' with the rhythm that the drivers made
People passing by, they would stop and say
""Oh, my, but that little country boy could play""
[Chorus]
Go, go
Go, Johnny, go, go
Go, Johnny, go, go
Go, Johnny, go, go
Go, Johnny, go, go
Johnny B. Goode

[Guitar Solo]

[Verse 3]
His mother told him, ""Someday you will be a man
And you will be the leader of a big ol' band
Many people coming from miles around
To hear you play your music when the sun go down
Maybe someday your name will be in lights
Sayin' 'Johnny B. Goode Tonight'""

[Chorus]
Go, go
Go, Johnny, go
Go, go, go, Johnny, go
Go, go, go, Johnny, go
Go, go, go, Johnny, go
Go, Johnny B. Goode","rockabilly, rock and roll","1959-07-01","74","False"
"I Wanna Be Around","Tony Bennett","adult standards,easy listening,lounge,vocal jazz","1963-02-18","[Verse]
I wanna be around, to pick up the pieces
When somebody breaks your heart
Some somebody twice as smart
As I
A somebody who will swear to be true
As you used to do with me
Who'll leave you to learn that misery loves
Company, wait and see
I mean, I wanna be around to see how he does it
When he breaks your heart to bits
Let's see if the puzzle really fits
So fine
And that's when I'll discover that revenge is sweet
As I sit there applauding from a front row seat
When somebody breaks your heart
Like you, like you broke mine","vocal jazz, christmas, big band, adult standards, jazz","1963-02-18","40","False"
"Unforgettable (Mariah Carey Acoustic Remix)","French Montana","hip hop,pop rap,rap,southern hip hop,trap,dance pop,pop,urban contemporary,melodic rap,rap,trap","2017-08-25","[Intro: Mariah Carey]
Ayy, woo
Unforgettable

[Chorus: Swae Lee, Mariah Carey & Both]
It's not good enough for me
Since I've been with you, ooh (oh)
It's not gonna work for you
Nobody can equal me (I know, oh)
I'm gonna sip on this drink, when I'm fucked up
I should know how to pick up
I'm gonna catch the rhythm
While she push up against me, ooh, is she tipsy?
I had enough convo for 24
I peep'd you from across the room
Pretty little body, dancin' like GoGo, ayy
And you are unforgettable
I need to get you alone
Why not? A fuckin' good time never hurt nobody
I got a little drink, but it's not Bacardi
If you loved the girl, then I'm so, so sorry
I gotta give it to her like we in a marriage
Oh, like we in a hurry
No, no, I won't tell nobody
You're on your level too
Tryna do what lovers do

[Verse 1: French Montana, Mariah Carey & Both]
Feelin' like I'm fresh out; Boosie
If they want the drama, got the Uzi (uzi)
Ship the whole crew to the cruise ship
Doin' shit you don't even see in movies
Ride with me, ride with me, boss
I got a hard head, but her ass soft
She want the last name with the ring on it
'Cause I pulled out a million cash, told her plank on it
(Oh you)

[Bridge: Mariah Carey, Both]
And you are unforgettable
I need to get you alone
Now you wanna choose
Just pop the bubbly in the 'cuzi

[Chorus: Swae Lee, Mariah Carey & Both]
It's not good enough for me
Since I've been with you, ooh (oh)
I'm gonna sip on this drink, when I'm fucked up
I should know how to pick up
I'm gonna catch the rhythm
While she push up against me, ooh, is she tipsy?
I had enough convo for 24
I peep'd you from across the room
Pretty little body, dancin' like GoGo, ayy
And you are unforgettable
I need to get you alone (ooh)
Why not? A fuckin' good time never hurt nobody
I got a little drink, but it's not Bacardi
If you loved the girl, then I'm so, so sorry
I gotta give it to her like we in a marriage
Oh, like we in a hurry
No, no, I won't tell nobody
You're on your level too
Tryna do what lovers do

[Verse 2: French Montana, Both]
You ain't enough for me
Too much for you alone
Baby, go and grab some bad bitches, bring 'em home
Know the jet's on me
I'ma curve my best for you, you know
So pick up that dress for me
Leave the rest on
Too much convo for 24 hours
When you stand next to 24 karats
She left her man at home
She don't love him no more
I want your mind and your body
Don't mind nobody
So, you don't ever hurt nobody
Baby girl, work your body, work your body

[Bridge: Swae Lee, French Montana & Mariah Carey]
And you are unforgettable
I need to get you alone (I need, I need, oh)
Now you wanna choose
Just pop the bubbly in the 'cuzi
Why not?

[Outro: Swae Lee & Mariah Carey]
Oh, like we in a hurry
No, no, I won't tell nobody
You're on your level too
Tryna do what lovers do
Unforgettable","","2017-08-25","29","True"
"Hang On Sloopy","The McCoys","bubblegum pop,classic garage rock,doo-wop,merseybeat,rock-and-roll","1995-06-06","[Chorus]
Hang on, Sloopy
Sloopy, hang on
Hang on, Sloopy
Sloopy, hang on

[Verse 1]
Sloopy lives in a very bad part of town
And everybody, yeah, tries to put my Sloopy down
Sloopy, I don't care what your daddy do
'Cause you know, Sloopy, girl, I'm in love with you

[Chorus]
And so I say now, hang on, Sloopy
Sloopy, hang on
Hang on, Sloopy
Sloopy, hang on

[Interlude]
Yeah (Yeah), yeah (yeah)
Give it to 'em, right now!

[Guitar Solo]

[Verse 2]
Sloopy, let your hair down, girl (Ooh-ooh-ooh-ooh)
Let it hang down on me
Sloopy, let your hair down, girl (Ooh-ooh-ooh-ooh)
Let it hang down on me, yeah, yeah

[Bridge]
Come on, Sloopy (Come on, come on)
Well, come on, Sloopy (Come on, come on)
Well, come on, Sloopy (Come on, come on)
Well, come on, Sloopy (Come on, come on)
Well, it feels so good (Come on, come on)
You know it feels so good (Come on, come on)
Uh, shake it, shake it, shake it, Sloopy (Come on, come on)
Uh, shake it, shake it, shake it, yeah (Come on, come on)

[Chorus]
Hang on, Sloopy
Sloopy, hang on (Yeah yeah, yeah yeah, yeah yeah)
Hang on, Sloopy
Sloopy, hang on (Yeah yeah, yeah yeah, yeah yeah)

[Refrain]
Hang on, Sloopy
Sloopy, hang on","","1995-06-06","55","False"
"Kings and Queens","Thirty Seconds to Mars","modern rock,post-grunge","2009-01-01","[Intro]
Oh, oh, oh
Oh, oh, oh
Oh, oh, oh-oh
Oh, oh, oh

[Verse 1]
Into the night
Desperate and broken
The sound of a fight
Father has spoken

[Pre-Chorus]
Oh, oh, oh
Oh, oh, oh

[Chorus]
We were the kings and queens of promise
We were the victims of ourselves
Maybe the children of a lesser God
Between heaven and hell
Heaven and hell

[Verse 2]
Into your eyes
Hopeless and taken
We stole our new lives
Through blood and name
In defense of our dreams
In defense of our dreams (Dreams, dreams)

[Chorus]
We were the kings and queens of promise
We were the victims of ourselves
Maybe the children of a lesser God
Between heaven and hell
Heaven and hell (Heaven and hell)

[Bridge]
The age of man is over
A darkness comes at dawn
These lessons that we've learned here
Have only just begun

[Chorus]
We were the kings and queens of promise
We were the victims of ourselves
Maybe the children of a lesser God
Between heaven and hell

[Breakdown]
We are the kings
We are the queens
We are the kings
We are the queens

[Outro]
Oh, oh, oh
Oh, oh, oh
Oh, oh, oh-oh
Oh, oh, oh","modern rock","2009","62","False"
"Losing My Religion","R.E.M.","alternative rock,athens indie,permanent wave,rock","2003-10-27","[Instrumental Intro]

[Verse 1]
Oh, life, it's bigger
It's bigger than you
And you are not me
The lengths that I will go to
The distance in your eyes
Oh no, I've said too much
I set it up
That's me in the corner
That's me in the spotlight
Losin' my religion
Tryin' to keep up with you
And I don't know if I can do it
Oh no, I've said too much
I haven't said enough
[Chorus]
I thought that I heard you laughing
I thought that I heard you sing
I think I thought I saw you try

[Verse 2]
Every whisper
Of every waking hour
I'm choosin' my confessions
Tryin' to keep an eye on you
Like a hurt, lost and blinded fool, fool
Oh no, I've said too much
I set it up

[Pre-Chorus]
Consider this
Consider this, the hint of the century
Consider this, the slip
That brought me to my knees, failed
What if all these fantasies come
Flailing around
Now, I've said too much

[Chorus]
I thought that I heard you laughing
I thought that I heard you sing
I think I thought I saw you try

[Bridge]
But that was just a dream
That was just dream

[Verse 3]
That's me in the corner
That's me in the spotlight
Losin' my religion
Tryin' to keep up with you
And I don't know if I can do it
Oh no, I've said too much
I haven't said enough

[Chorus]
I thought that I heard you laughing
I thought that I heard you sing
I think I thought I saw you try

[Outro]
But that was just a dream
Try, cry, why try?
That was just a dream
Just a dream
Just a dream, dream","jangle pop, alternative rock, rock","1991-03-12","85","False"
"Lose Control (Mathame Remix)","Meduza, Becky Hill & Goodboys","edm,pop dance,pop house,uk dance,pop dance,pop house,uk dance,uk pop,pop dance,uk dance","2019-10-11","[Verse 1: Becky Hill, Becky Hill & GOODBOYS]
Why do I feel like I'm drowning?
Like I'm running out of air? Ah-ah-ah
Why do I feel like I'm falling?
When I'm nowhere near the edge? Ah-ah-ah

[Refrain: Becky Hill, Becky Hill & GOODBOYS]
Just let me know
Can you be the one to hold and not let me go?
I need to know
Could you be the one to call when I lose control?

[Pre-Drop: GOODBOYS, Becky Hill & GOODBOYS, Becky Hill]
Ah-ah-ah-ah, ah, ah-ah-ah
I need your love, ah, I need your love, ah
Ah, ah-ah-ah-ah, ah, ah-ah-ah
I need your love, ah, I need your love, ah
Ah-ah-ah-ah, ah, ah-ah-ah
I need your love, ah, I need your love, ah
Ah, ah-ah-ah-ah, ah, ah-ah-ah
Could you be the one to call when I lose control?

[Drop: Becky Hill]
I need your love
Ooh-ooh
When I lose control
Ooh-ooh
When I lose control

[Verse 2: Becky Hill, Becky Hill & GOODBOYS]
I know I can be destructive
And I can change the atmosphere, ah-ah-ah
All I ask from you is patience (Patience)
Some patience (Patience), some patience (Patience)

[Refrain: Becky Hill]
Just let me know
Can you be the one to hold and not let me go?
I need to know
Could you be the one to call when I lose control?

[Pre-Drop: Becky Hill, GOODBOYS, Becky Hill & GOODBOYS]
When I lose control? (Ah-ah-ah-ah, ah)
When I lose control? (Ah-ah-ah-ah, ah)
When I lose control? (I need your love, ah)
When I lose control? (I need your love, ah)
When I lose control? (Ah-ah-ah-ah, ah)
When I lose control? (Ah-ah-ah-ah, ah)
Ah-ah-ah-ah, ah, ah-ah-ah
I need your love, ah, I need your love, ah
Ah, ah-ah-ah-ah, ah, ah-ah-ah
Could you be the one to call when I lose control?
Ah-ah-ah-ah, ah, ah-ah-ah
I need your love, ah, I need your love, ah (When I lose control)
Could you be the one to call when I lose control?
When I lose control?
When I lose control?

[Drop: Becky Hill]
I need your love
I need your love
I need your love
I need your love (When I lose control)
I need your love
I need your love
I need your love
I need your love (When I lose control)
I need your love
I need your love
I need your love
I need your love (One to call when I lose control)
I need your love
I need your love
I need your love
I need your love (Could you be the one to call when I lose control?)

[Outro: Becky Hill & GOODBOYS, Becky Hill]
Ah-ah-ah-ah, ah, ah-ah-ah
I need your love, ah, I need your love, ah
Ah, ah-ah-ah-ah, ah, ah-ah-ah
Could you be the one to call when I lose control?","","2019-10-11","70","False"
"I’ll Put You Together Again","Hot Chocolate","disco","1978","[Verse 1]
When you can't take anymore
When you feel your life is over
Put down your tablets and pick up your pen
And I'll put you together again

If your faith withers away
If God can't bring you your answer
Write me a letter, I'll read it and then
I'll put you together again

[Chorus]
Put us together, together again
Put us together again
When things look hopeless, just write me and then
I'll put you together again

[Verse 2]
If there's no light anywhere
And you've got no one to turn to
I'll lead you out of the darkness and then
I'll put you together again

[Chorus]

[Outro]
When things look hopeless, just write me, my friend
And I'll put you together again","","1978","28","False"
"Calling All Angels","Train","dance pop,neo mellow,pop,pop rock","2003-06-03","[Verse 1]
I need a sign to let me know you're here
All of these lines are being crossed over the atmosphere
I need to know that things are gonna look up
'Cause I feel us drowning in a sea spilled from a cup
When there is no place safe and no safe place to put my head
When you can feel the world shake from the words that are said

[Chorus]
And I'm
Calling all angels
And I'm
Calling all you angels

[Chorus]
And I won't give up if you don't give up
I won't give up if you don't give up
I won't give up if you don't give up
I won't give up if you don't give up

[Verse 2]
I need a sign to let me know you're here
'Cause my TV set just keeps it all from being clear
I want a reason for the way things have to be
I need a hand to help build up some kind of hope inside of me

[Chorus]
And I'm
Calling all angels
And I'm
Calling all you angels

[Bridge]
When children have to play inside so they don't disappear
While private eyes solve marriage lies 'cause we don't talk for years
And football teams are kissing queens (I won't give up if you don't give up)
And losing sight of having dreams
In a world that what we want (I won't give up if you don't give up)
Is only what we want until it's ours

[Chorus]
And I'm
Calling all angels
And I'm
Calling all you angels

[Outro]
And I'm (I won't give up if you don't give up)
Calling all angels (I won't give up if you don't give up)
And I'm (I won't give up if you don't give up)
Calling all you angels (I won't give up if you don't give up)
Calling all you angels (I won't give up if you don't give up)
Calling all you angels (I won't give up if you don't give up)
Calling all you angels (I won't give up if you don't give up)","soft pop","2003-06-03","56","False"
"Save Tonight","Eagle-Eye Cherry","pop rock","1998-01-01","[Verse 1]
Go on and close the curtains
'Cause all we need is candlelight
You and me, and a bottle of wine
Gonna hold you tonight, oh yeah

[Pre-Chorus]
Well, we know I'm going away
And how I wish, I wish it weren't so
So, take this wine and drink with me
And let's delay our misery

[Chorus]
Save tonight and fight the break of dawn
Come tomorrow, tomorrow I'll be gone
Save tonight and fight the break of dawn
Come tomorrow, tomorrow I'll be gone

[Verse 2]
There's a log on the fire
And it burns like me for you
Tomorrow comes with one desire
To take me away, oh, it's true

[Pre-Chorus]
It ain't easy to say goodbye
Darlin' please, don't start to cry
'Cause, girl, you know I've got to go, oh
And, Lord, I wish it wasn't so

[Chorus]
Save tonight and fight the break of dawn
Come tomorrow, tomorrow I'll be gone
Save tonight and fight the break of dawn
Come tomorrow, tomorrow I'll be gone

[Instrumental Break]

[Pre-Chorus]
Tomorrow comes to take me away
I wish that I, that I could stay
Girl, you know I've got to go, oh
And, Lord, I wish it wasn't so

[Chorus]
Save tonight and fight the break of dawn
Come tomorrow, tomorrow I'll be gone
Save tonight and fight the break of dawn
Come tomorrow, tomorrow I'll be gone
Save tonight and fight the break of dawn
Come tomorrow, tomorrow I'll be gone
Save tonight and fight the break of dawn
Come tomorrow, tomorrow I'll be gone

[Post-Chorus]
Tomorrow I'll be gone
Tomorrow I'll be gone
Tomorrow I'll be gone
Tomorrow I'll be gone

[Outro]
Save tonight
Save tonight
Save tonight
Save tonight
Oh, that's right
Save tonight
Save tonight
Save tonight
Save tonight
Yeah, that's right","","1998-07-13","66","False"
"Same Old Love","Selena Gomez","pop,post-teen pop","2015-01-01","[Produced by Benny Blanco and StarGate]
[Written by Benny Blanco, Charli XCX, Mikkel S. Eriksen, Ross Golan & Tor Erik Hermansen]

[Verse 1: Selena Gomez]
Take away your things and go
You can't take back what you said, I know
I've heard it all before, at least a million times
I'm not one to forget, you know

[Pre-Chorus 1: Selena Gomez]
I don't believe, I don't believe it
You left in peace, left me in pieces
Too hard to breathe
I'm on my knees right now-ow

[Chorus: Selena Gomez & Charli XCX]
I'm so sick of that same old love, that shit, it tears me up
I’m so sick of that same old love, my body's had enough
Oh-oh-oh, that same old love
Oh-oh-oh, that same old love
I’m so sick of that same old love, feels like I've blown apart
I’m so sick of that same old love, the kind that breaks your heart
Oh-oh-oh, that same old love
Oh-oh-oh, that same old love

[Verse 2: Selena Gomez]
I'm not spending any time
Wasting tonight on you, I know
I've heard it all, so don't you try and change your mind
'Cause I won't be changing too, you know

[Pre-Chorus 2: Selena Gomez]
You can't believe, still can't believe it
You left in peace, left me in pieces
Too hard to breathe, I'm on my knees
Right now, 'ow

[Chorus: Selena Gomez & Charli XCX]
I'm so sick of that same old love, that shit, it tears me up
I’m so sick of that same old love, my body's had enough
Oh-oh-oh, that same old love
Oh-oh-oh, that same old love
I’m so sick of that same old love, feels like I've blown apart
I’m so sick of that same old love, the kind that breaks your heart
Oh-oh-oh, that same old love
Oh-oh-oh, that same old love

[Bridge: Selena Gomez & Charli XCX]
I'm so sick of that, so sick of that love
I'm so sick of that, so sick of that love
I'm so sick of that, so sick of that love
I'm so sick of that, so sick of that love

[Chorus: Selena Gomez & Charli XCX]
I'm so sick of that same old love, that shit, it tears me up
I’m so sick of that same old love, my body's had enough
Oh-oh-oh, that same old love
Oh-oh-oh, that same old love
I’m so sick of that same old love, feels like I've blown apart
I’m so sick of that same old love, the kind that breaks your heart
Oh-oh-oh, that same old love
Oh-oh-oh, that same old love","pop","2015-10-09","68","False"
"Que Sera","Justice Crew","australian pop,australian talent show","2012","[Chorus]
At the end of the day
Some you win, some you don't
So, I'm glad that I'm here
With some friends that I know
Always there with a smile
Saying ""you're not alone""
Singing la la la la
Que sera

[Verse 1]
(Oh)
(Here we go, yo)
Yesterday is history (oh)
You gotta get through it
Tomorrow is a mystery, so
Let's just do it
And even when the rain falls
You and I will stand tall
No matter what you go through
I'll never leave you

[Bridge]
So you gotta be strong (strong)
Live by the words of the song (song)
Together is where we belong ('long)
Never stop dreaming
Keep holding on

[Chorus]
At the end of the day
Some you win, some you don't
So, I'm glad that I'm here
With some friends that I know
Always there with a smile
Saying ""you're not alone""
Singing la la la la
Que sera

[Verse 2]
When it's been a long day
Had enough, given up, it ain't okay
We don't care what the world say
We spread love, it's the only way

[Bridge]
So you gotta be strong (strong)
Live by the words of the song (song)
Together is where we belong ('long)
Never stop dreaming
Keep holding on

[Chorus]
At the end of the day
Some you win, some you don't
So, I'm glad that I'm here
With some friends that I know
Always there with a smile
Saying ""you're not alone""
Singing la la la la
Que sera

[Verse 3]
We keep falling, but the
World keeps spinning, and I
Might stop winning, just as
Long as I got you by my side
We keep falling, but the
World keeps spinning, and I
Might stop winning, but I
Know that we're gonna be alright

[Chorus x4]
At the end of the day
Some you win, some you don't
So, I'm glad that I'm here
With some friends that I know
Always there with a smile
Saying ""you're not alone""
Singing la la la la
Que sera","","2012","47","False"
"Cindy’s Birthday","Johnny Crawford","deep adult standards","2006-01-24","Cindy's Birthday
Johnny Crawford
Written by Jeff Hooven and Hal Winn
(played Mark McCain on TV's ""Rifleman"")
Top spot charted # 8 in 1962
No time for the movie show, TV, or the radio
Gotta write a symphony, end it with some poetry
Tie them with a ribbon made of gold and give them to Cindy
Today is Cindy's birthday
No time for geometry, 'rithmetic, or history
Gotta write a song from my heart, then pick the greatest work of art
Tie them with a ribbon made of gold and give them to Cindy
Today is Cindy's birthday
No time to do the Twist, don't mind all the things I miss
Gotta write a melody, write it from the heart of me
Tie it with a ribbon made of gold and give it to Cindy
Today is Cindy's birthday
Yes, Cindy's happy birthday
FADE","doo-wop","2006-01-24","31","False"
"Say What You Want","Texas","new romantic,new wave pop,scottish rock","1997-03-02","[Verse 1]
Twenty seconds on the back time
I feel you're on the run
Never lived too long to make right
I see you're doing fine
And when I get that feeling
I can no longer slide
I can no longer run (oh no no no)
And when I get that feeling
I can no longer hide
For it's no longer fun (oh no no no)

[Chorus]
Yeah, you can say what you want
But it won't change my mind
I'll feel the same about you
And you can tell me your reasons
But it won't change my feelings
I'll feel the same about you

[Verse 2]
What I am is what you want to be
Now that I'm not there
Took the tables away from you
It's turned and I don't care
And when I get that feeling
I can no longer slide
I can no longer run (oh no no no)
And when I get that feeling
I can no longer hide
For it's no longer fun (oh no no no)

[Chorus]
Yeah, you can say what you want
But it won't change my mind
I'll feel the same about you
And you can tell me your reasons
But it won't change my feelings
I'll feel the same about you
Yeah, you can say what you want
But it won't change my mind
I'll feel the same about you
And you can tell me your reasons
But it won't change my feelings
I'll feel the same about you

[Bridge]
I've said goodnight try to sleep tight
Oh, just dream of me
Go close your eyes cause I'll close mine
The sun will shine from time to time
Oh will you dream of me again

[Chorus]
Yeah, you can say what you want
But it won't change my mind
I'll feel the same about you
And you can tell me your reasons
But it won't change my feelings
I'll feel the same about you
Yeah, you can say what you want
But it won't change my mind
I'll feel the same about you
And you can tell me your reasons
But it won't change my feelings
I'll feel the same about you

[Chorus and Verse]
Yeah you can say what you want (But when I get that feeling)
But it won't change my mind (I can no longer slide)
I'll feel the same about you (I can no longer run oh no no)
And you can tell me your reasons (And when I get that feeling)
But it won't change my feelings (I can no longer hide)
I'll feel the same about you (For it's no longer fun oh no no)

Yeah you can say what you want (But when I get that feeling)
But it won't change my mind (I can no longer slide)
I'll feel the same about you (I can no longer run oh no no)
And you can tell me your reasons (And when I get that feeling)
But it won't change my feelings (I can no longer hide)
I'll feel the same about you (For it's no longer fun oh no no)","","1997-03-02","68","False"
